event_id,signal_id,cluster_id,revision,event_start_date,event_end_date,published_at,first_seen_at,updated_at,disease_id,disease_name_zh,disease_name_en,subtype,location,continent,cases,deaths,hospitalizations,period_type,source_org,source_type,source_tier,source,description_cn,review_status,extraction_confidence,data_quality_score,quality_status
evt_74e95001557e5ac5f900,sig_74e95001557e5ac5f900,cluster_5368f5edc01e0f7a9eef,1,2026-07-08,2026-07-08,2026-07-08,,,covid-19,新型冠状病毒感染,COVID-19,,中国澳门,亚洲,,,,event,GOV,other_open_source,4,https://www.gov.mo/zh-hant/news/1250620,"澳门卫生局7月8日接报1宗新冠病毒群集性感染事件,氹仔米尼奥街菩提长者综合服务中心3名院友(2男1女)自7月7日起出现发",unreviewed,0.92,92,validated
evt_22c301c2f66da0032a9c,sig_22c301c2f66da0032a9c,cluster_02b812746f7b2f8eabb7,1,2026-07-07,2026-07-07,2026-07-07,,,dengue,登革热,Dengue,,新加坡,亚洲,,,,event,新加坡国家环境局（NEA）,news_media,3,https://www.channelnewsasia.com/singapore/dengue-cluster-yio-chu-kang-lentor-nea-6237831,"新加坡多区域登革热高发集群,确诊病例逾10例,启动防控措施。",unreviewed,0.92,92,validated
evt_91c8084c24b2c95f1979,sig_91c8084c24b2c95f1979,cluster_9dfc79306d6b22731128,1,2026-06-11,2026-06-11,2026-07-07,,,covid-19,新型冠状病毒感染,COVID-19,,菲律宾奎松市,亚洲,146,,,cumulative,菲律宾星报,other_open_source,4,https://www.philstar.com/nation/2026/07/07/2540335/spike-covid-19-cases-no-cause-alarm-quezon-city,"菲律宾奎松市6月11日至7月1日新冠确诊84例,均为轻症,无聚集或重症。",unreviewed,0.92,92,validated
evt_b153f0beda46274105fa,sig_b153f0beda46274105fa,cluster_36b234af6f38197eec85,1,2026-06-07,2026-06-07,2026-07-07,,,mpox,猴痘,Mpox,,中国台湾,亚洲,19,,,cumulative,ETtoday健康,news_media,3,https://health.ettoday.net/news/3196754,"台湾近月新增4例猴痘病例,累计19例,主要为男性青壮年,已接种疫苗并提供免费接种服务。",unreviewed,0.92,92,validated
evt_112fce02f1c796d7fec7,sig_112fce02f1c796d7fec7,cluster_15c1613456d35b47710d,1,2026-05-01,2026-05-01,2026-07-07,,,mpox,猴痘,Mpox,,中国台湾,亚洲,19,,,cumulative,疾病管制署,official_health_authority,1,https://www.cdc.gov.tw/Bulletin/Detail/M4x2HCdGrtmBvx1hI2u4ww?typeId=9,"台湾新增4例M痘确诊,2本土2境外,今年累计19例,多未接种疫苗。",unreviewed,1.0,100,validated
evt_59a0a6ac572af8ce72fd,sig_59a0a6ac572af8ce72fd,cluster_4625b49691c9eb986cad,1,2026-07-06,2026-07-06,2026-07-07,,,dengue,登革热,Dengue,,中国台湾,亚洲,83,,,event,台湾疾病控制署,official_health_authority,1,https://www.cdc.gov.tw/Bulletin/Detail/iheCGS59dCugdGfswWuh5Q?typeId=9,"台湾登革热病例83例,本土7例,境外移入76例。",unreviewed,1.0,100,validated
evt_d3a2afda8e0b85f65489,sig_d3a2afda8e0b85f65489,cluster_afdc095129c2303bb04a,1,2026-06-01,2026-06-01,2026-07-07,,,enterovirus-d68,肠病毒 D68 型感染,Enterovirus D68 infection,EV-D68,中国台湾,亚洲,6,1,2,cumulative,ETtoday健康云,news_media,3,https://health.ettoday.net/news/3196750,"台湾中部未满1岁男婴感染肠病毒D68型并发重症住院2周,今年累计6例重症含1死",unreviewed,0.92,92,validated
evt_0b6b958d99800871fe04,sig_0b6b958d99800871fe04,cluster_90119b925a105236896e,1,2026-07-07,2026-07-07,2026-07-07,,,enterovirus-infection,肠病毒感染,Enterovirus infection,,中国台湾,亚洲,1,1,,cumulative,疾病管制署,official_health_authority,1,https://www.cdc.gov.tw/Bulletin/Detail/s8s1Js8kPmgFnAGyaItIKg?typeId=9,"2026年7月7日,疾管署公布新增1例肠病毒D68型重症病例,累计6例重症(含1死),呼吁加强预防。",unreviewed,1.0,100,validated
evt_8ed3d30cdda8033cc4fb,sig_8ed3d30cdda8033cc4fb,cluster_fd0cbb3ed63c76c703a0,1,2026-07-07,2026-07-07,2026-07-07,,,dengue,登革热,Dengue,,柬埔寨金达尔省考索姆区,亚洲,578,,,event,柬埔寨Kiripost,other_open_source,4,https://kiripost.com/stories/dengue-cases-hit-578-in-kandals-koh-thom-no-deaths-reported,"柬埔寨金达尔省考索姆区登革热确诊病例578例,无死亡",unreviewed,0.92,92,validated
evt_281de981afcc00832ffe,sig_281de981afcc00832ffe,cluster_f77cfee17788ed9db4ae,1,2026-07-07,2026-07-07,2026-07-07,,,mpox,猴痘,Mpox,,几内亚比绍,非洲,1,,,event,ProMED,promed,2,https://www.promedmail.org/?alert_id=8734023,"几内亚比绍确认首例猴痘病例,已启动紧急防控措施",unreviewed,1.0,100,validated
evt_4caa75b1012784dbe158,sig_4caa75b1012784dbe158,cluster_7bfa3a5fa850b9936a04,1,2026-07-07,2026-07-07,2026-07-07,,,influenza,流行性感冒,Influenza,H1N1,中国台湾,亚洲,,,,weekly,台湾疾病管制署,other_open_source,4,https://www.setn.com/news/659741,"台湾流感入流行期,A型H1N1为主,上周新增55例重症,男婴住院,就诊超10万。",unreviewed,0.92,92,validated
evt_080517599181eb1fd996,sig_080517599181eb1fd996,cluster_09d967affdea640d1158,1,2026-07-07,2026-07-07,2026-07-07,,,enterovirus-infection,肠病毒感染,Enterovirus infection,,中国澳门,亚洲,,,,event,GOV,other_open_source,4,https://www.gov.mo/zh-hant/news/1250292,"澳门卫生局7月7日接获1宗肠病毒群集性感染报告,氹仔东北马路崇专托儿所(澳门崇德社)Magic班共3名幼童(1男2女)感",unreviewed,0.92,92,validated
evt_e3f7d929d730789c4a83,sig_e3f7d929d730789c4a83,cluster_8a09fe9798e1d45804bf,1,2026-07-07,2026-07-07,2026-07-07,,,influenza,流行性感冒,Influenza,,中国澳门,亚洲,,,2,event,GOV,other_open_source,4,https://www.gov.mo/zh-hant/news/1250612,"澳门报告1例甲流重症及6例托儿所流感样疾病聚集,2名儿童住院,疫情已采取防控措施。",unreviewed,0.92,92,validated
evt_bbbf194919709156c922,sig_bbbf194919709156c922,cluster_d308686f590d0d790e7d,1,2026-06-23,2026-06-23,2026-07-06,,,dengue,登革热,Dengue,,尼泊尔,亚洲,,,,event,Hariyo Nepal,other_open_source,4,https://hariyalinepal.com/468614,"尼泊尔6月23日至29日确诊63例登革热,官方提醒季风雨季期间需加强预防。",unreviewed,0.92,92,validated
evt_5c999f64c22203d0e158,sig_5c999f64c22203d0e158,cluster_23adfa963bc428144faa,1,2026-07-06,2026-07-06,2026-07-06,,,dengue,登革热,Dengue,,"Kaoh Thum district, Kandal province, Cambodia",亚洲,593,16,,cumulative,柬埔寨卫生部,other_open_source,4,https://denguevisualatlas.com/en/dengue-outbreak-in-kandal-cambodia-and-national-data-in-2026,"柬埔寨坎达尔省登革热爆发,过去三周报告593例,6例重症;全国累计12,948例,16人死亡。",unreviewed,0.92,92,validated
evt_63e183c57906ea6beea9,sig_63e183c57906ea6beea9,cluster_c891ad5829d1af3102b2,1,2026-06-01,2026-06-01,2026-07-06,,,notifiable-diseases-group,乙类传染病,Notifiable diseases group,,黑龙江省,亚洲,,38,,event,黑龙江省疾病预防控制局,official_health_authority,1,http://www.hljcdc.org/pc/index.php?a=index&c=zixundetail&id=7128&lid=120,"黑龙江省2026年6月报告法定传染病8278例,死亡38人,乙类传染病发病5467例,占比95.21%",unreviewed,1.0,100,validated
evt_38fd948926ebcbafb7a1,sig_38fd948926ebcbafb7a1,cluster_2b45806a91946d1b5594,1,2026-07-06,2026-07-06,2026-07-06,,,pneumococcal-disease,肺炎链球菌病,Pneumococcal disease,,美国纽约市上东侧,北美洲,,,,event,Fox News,news_media,3,https://www.foxnews.com/us/nyc-health-officials-warn-central-park-visitors-legionnaires-outbreak-grows-upper-east-side,纽约上东侧链球菌肺炎疫情蔓延至14例,unreviewed,0.92,92,validated
evt_108ec51ca1862c36703e,sig_108ec51ca1862c36703e,cluster_8a535f5eb6949ce468b4,1,2026-07-06,2026-07-06,2026-07-06,,,avian-influenza,禽流感,Avian influenza,H5N1,Hawks Nest,大洋洲,6,,,event,Vietnam,other_open_source,4,https://www.vietnam.vn/en/bang-thu-3-cua-australia-xac-nhan-truong-hop-nhiem-cum-gia-cam-h5n1,"澳大利亚新南威尔士州一只迁徙海鸟在沿海小镇考克斯内斯特附近测试阳性,确认了H5N1禽流感病例。",unreviewed,0.92,92,validated
evt_559568ca64ed2479fce5,sig_559568ca64ed2479fce5,cluster_8656deecaeda18464417,1,2026-06-29,2026-07-05,2026-07-05,,,influenza,流行性感冒,Influenza,,南非,非洲,863,,,cumulative,南非国家传染病研究所（NICD）,official_health_authority,1,https://www.nicd.ac.za/wp-content/uploads/2026/07/Resp_Path_Report_2026_27.pdf,"南非2026年第27周流感监测发现18例阳性,累计863例",unreviewed,1.0,100,validated
evt_3fab17843a5ae1526b47,sig_3fab17843a5ae1526b47,cluster_2adadddc51a6578e584e,1,2026-07-05,2026-07-05,2026-07-05,,,acute-diarrheal-disease,急性腹泻病,Acute diarrheal disease,,南非开普敦,非洲,,,,event,ENCA,other_open_source,4,https://www.enca.com/news/diarrhoea-cases-ct-not-outbreak-gift-givers,"开普敦Epping遣返中心报告10-14例腹泻,未构成突发事件,医疗团队监测并建议公众不恐慌。",unreviewed,0.92,92,validated
evt_747df6dfe8142fb18eef,sig_747df6dfe8142fb18eef,cluster_052567af5db937f5d0f1,1,2026-06-21,2026-06-21,2026-07-05,,,covid-19,新型冠状病毒感染,COVID-19,,中国台湾,亚洲,,,,event,ETtoday新闻云,news_media,3,https://www.ettoday.net/news/20260705/3195577.htm,"台湾新冠门急诊就诊增43.8%至1452人次,新增8例重症",unreviewed,0.92,92,validated
evt_d5ed7adc5b1125fbb8b6,sig_d5ed7adc5b1125fbb8b6,cluster_d518238b21c95bdcbb59,1,2026-07-05,2026-07-05,2026-07-05,,,dengue,登革热,Dengue,,南部省,亚洲,59638,,,event,国家登革热控制单位,other_open_source,4,https://adaderana.lk/news/cmr79vg8s0008356qfct3hch4,"2026年国家登革热病例超过59,000例,西部省最高",unreviewed,0.92,92,validated
evt_922671d927a9f68b63fa,sig_922671d927a9f68b63fa,cluster_0ade1d965e09eab59552,1,2026-07-05,2026-07-05,2026-07-05,,,influenza,流行性感冒,Influenza,H1N1,韩国,亚洲,,,19,event,KDCA,other_open_source,4,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsDocNo=20260709163218406&q_bbsSn=1010&q_clsfNo=2,"韩国疾病管理厅发布的2026年第27周(7月5日当周)传染病哨点监测周报,涵盖流感、COVID-19及急性呼吸道感染的门",unreviewed,0.92,92,validated
evt_a46f35a74bc050aca3df,sig_a46f35a74bc050aca3df,cluster_4ff45b200ccaa75882c2,1,2026-07-05,2026-07-05,2026-07-05,,,dengue,登革热,Dengue,,孟加拉国,亚洲,6597,19,,event,The Daily Star,other_open_source,4,https://www.thedailystar.net/opinion/views/news/the-solution-bangladeshs-dengue-problem-our-own-soil-4215916,"孟加拉国2026年登革热病例6,597例,19例死亡,讨论本土灭蚊方案。",unreviewed,0.92,92,validated
evt_e41b68be5f5eaa327c85,sig_e41b68be5f5eaa327c85,cluster_f71fecf7847713c4816e,1,2026-05-01,2026-05-01,2026-07-04,,,taeniasis,绦虫病,Taeniasis,,美国,北美洲,,,,event,Vice,other_open_source,4,https://www.vice.com/en/article/a-parasite-outbreak-is-causing-explosive-diarrhea-across-the-u-s-and-the-source-is-still-unknown,"美国多州爆发绦虫病导致约145例感染、20多例住院,无死亡。",unreviewed,0.92,92,validated
evt_dafea491864cb9cc674f,sig_dafea491864cb9cc674f,cluster_b60ba39b749626f03dee,1,2026-05-28,2026-05-28,2026-07-04,,,norovirus-infection,诺如病毒感染,Norovirus infection,,"Haines, Alaska, USA",北美洲,,,,event,Chilkat Valley News,news_media,3,https://www.chilkatvalleynews.com/2026/07/03/norovirus-cases-tied-to-ships-visiting-haines,"两艘邮轮在阿拉斯加海港 Haines 发生诺如病毒疫情,Sea Bird 船 20 人感染",unreviewed,0.92,92,validated
evt_3fe1e5139f4c21ccdf9a,sig_3fe1e5139f4c21ccdf9a,cluster_0e522cd2456ad5dbe114,1,2026-06-10,2026-06-10,2026-07-04,,,influenza,流行性感冒,Influenza,,美国德克萨斯州圣安东尼奥-拉克兰联合基地,北美洲,,1,2,event,中国观察,news_media,3,https://www.mnewstv.com/newsdetails.php?nid=9652,"美国空军基地流感暴发,至少222名新兵感染,2人住院,1人死亡。",unreviewed,0.92,92,validated
evt_554f20abfe3748c79847,sig_554f20abfe3748c79847,cluster_f9538edabd095218e4f2,1,2026-07-04,2026-07-04,2026-07-04,,,covid-19,新型冠状病毒感染,COVID-19,,中国香港,亚洲,,4,,event,CHP,other_open_source,4,https://www.chp.gov.hk/files/xls/covidx_data.xlsx,"2026年07月04日 香港发生COVID-19相关疫情,核酸检测阳性477例,重症12例,死亡4例,学校暴发1起,院舍",unreviewed,0.92,92,validated
evt_51c29141c0a3a385e44d,sig_51c29141c0a3a385e44d,cluster_7ca58ebaead05a49b52d,1,2026-07-03,2026-07-03,2026-07-03,,,dengue,登革热,Dengue,,中国香港,亚洲,,,,event,香港公共卫生局,other_open_source,4,https://www.chp.gov.hk/files/pdf/df_imported_cases_and_overseas_figures_chi.pdf,"2026年香港登革热个案报告,本地23例,输入23例,涉及症状和传播情况",unreviewed,0.92,92,validated
evt_78f05ab90573c0379571,sig_78f05ab90573c0379571,cluster_89cfa02002a4cc1a499f,1,2026-07-01,2026-07-01,2026-07-03,,,scrub-typhus,恙虫病,Scrub typhus,,金门,亚洲,104,,,cumulative,NOWNEWS,news_media,3,https://today.line.me/tw/v3/article/3N5XgyZ,"台湾恙虫病累计104例,死亡率高",unreviewed,0.92,92,validated
evt_0e55167b9e1b9a358e47,sig_0e55167b9e1b9a358e47,cluster_5368f5edc01e0f7a9eef,1,2026-07-02,2026-07-02,2026-07-03,,,covid-19,新型冠状病毒感染,COVID-19,,中国澳门,亚洲,,,,event,澳门卫生局,other_open_source,4,https://www.gov.mo/zh-hant/news/1249607,"澳门长者院舍群聚11例新冠感染,症状轻微,无重症。",unreviewed,0.92,92,validated
evt_c93db133e02d92a0d2fb,sig_c93db133e02d92a0d2fb,cluster_ad61b6aa6e9a6ae7c311,1,2026-07-01,2026-07-01,2026-07-03,,,scrub-typhus,恙虫病,Scrub typhus,,中国台湾,亚洲,104,,,cumulative,疾病管制署,news_media,3,https://www.ftvnews.com.tw/news/detail/2026703W0365,"台湾东部及离岛地区恙虫病暴发,截至7月1日累计104例,主要症状为高热、头痛等。",unreviewed,0.92,92,validated
evt_fa36569dbc7af87b83bb,sig_fa36569dbc7af87b83bb,cluster_8a09fe9798e1d45804bf,1,2026-07-01,2026-07-01,2026-07-03,,,influenza,流行性感冒,Influenza,,中国澳门,亚洲,8,,,event,澳门卫生局,other_open_source,4,https://www.gov.mo/zh-hant/news/1249604,"澳门台山中街圣若瑟教区中学第五校K1D班8名学生出现发热咳嗽等流感样症状,病情轻微,未见重症。",unreviewed,0.92,92,validated
evt_0028e18e1bcdcc50b719,sig_0028e18e1bcdcc50b719,cluster_5f02b0c4b47ab3ef26e8,1,2026-06-22,2026-06-28,2026-07-02,,,influenza,流行性感冒,Influenza,,South Africa,非洲,22,,,event,NICD,official_health_authority,1,https://www.nicd.ac.za/wp-content/uploads/2026/07/Resp_Path_Report_2026_26.pdf,流感季高峰,unreviewed,0.88,88,warning
evt_cb51e9816f2a45427622,sig_cb51e9816f2a45427622,cluster_8a09fe9798e1d45804bf,1,2026-07-02,2026-07-02,2026-07-02,,,influenza,流行性感冒,Influenza,,中国澳门,亚洲,,,,event,澳门特别行政区卫生局,other_open_source,4,https://www.gov.mo/zh-hant/news/1250198,"澳门报1例甲型流感重症,曾住院接受呼吸机支持治疗,现转普通病房",unreviewed,0.92,92,validated
evt_6630237af8ba4071d1d4,sig_6630237af8ba4071d1d4,cluster_e8fec62fef8e37feea01,1,2026-06-28,2026-06-28,2026-06-28,,,covid-19,新型冠状病毒感染,COVID-19,,日本,亚洲,4044,,,event,JIHS IDWR,other_open_source,4,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/2026/26/index.html,日本2026年6月22-28周报告4044例COVID-19病例,unreviewed,0.92,92,validated
evt_654e1116d7a98473e586,sig_654e1116d7a98473e586,cluster_81a0c258b514571f6a86,2,2026-06-28,2026-06-28,2026-06-28,,,influenza,流行性感冒,Influenza,H3N2,新加坡,亚洲,2644,,,event,BY,other_open_source,4,https://isomer-user-content.by.gov.sg/18/d6f3c369-3121-4475-b839-7f39bbf88ce7/Weekly%20Infectious%20Disease%20Bulletin%20EW%2026.pdf,"2026年06月28日 新加坡发生流感, 新型冠状病毒感染, 急性上呼吸道感染相关疫情,第26周急性上呼吸道感染病例26",unreviewed,0.92,92,validated
evt_44deb06b234c21240cba,sig_44deb06b234c21240cba,cluster_e8fec62fef8e37feea01,1,2026-06-28,2026-06-28,2026-06-28,,,covid-19,新型冠状病毒感染,COVID-19,,日本,亚洲,,,,weekly,MHLW,other_open_source,4,https://www.mhlw.go.jp/content/001718145.pdf,日本公布本周COVID-19报告情况,unreviewed,0.92,92,validated
evt_eb065b59a2688a1902bf,sig_eb065b59a2688a1902bf,cluster_2d9c561709411acadfb8,2,2026-06-21,2026-06-21,2026-06-27,,,acute-upper-respiratory-infection,急性上呼吸道感染,Acute upper respiratory infection,,新加坡,亚洲,2556,,,event,新加坡传染病局（CDA）,other_open_source,4,https://isomer-user-content.by.gov.sg/18/ea409bd1-20cb-4100-a93e-616923fae2cf/Weekly%20Infectious%20Disease%20Bulletin%20EW%2025.pdf,"新加坡第25周急性上呼吸道感染病例2556例,流感阳性率34%,COVID-19阳性率14%。",unreviewed,0.92,92,validated
